precipitaciones,velocidad_media_viento,velocidad_maxima_viento,direccion_media_viento,direccion_maxima_viento,humedad_relativa,insolacion,presion,temperatura_suelo,temperatura,temperatura_minima,temperatura_maxima,visibilidad,recorrido_viento,nieve,energia_generada
0.0,12.6,0,145.91,0,65.34,0,0,67.6,67.6,84.3,50.2,9.3,0.0,0.0,24092
0.18,8.5,0,189.17,0,54.11,0,0,67.0,67.0,80.6,56.5,9.5,0.0,0.0,21867
0.0,12.7,0,315.45,0,29.11,0,0,60.5,60.5,68.9,52.2,9.9,0.0,0.0,16683
0.12,9.5,0,202.11,0,60.19,0,0,49.5,49.5,56.1,42.6,9.7,37.1,0.0,5309
0.03,10.9,0,317.92,0,69.35,0,0,43.4,43.4,48.3,39.4,9.7,33.6,0.0,11959
0.0,11.8,0,342.92,0,54.85,0,0,48.7,48.7,58.7,41.6,9.9,36.5,0.0,29664
0.0,9.6,0,345.83,0,46.54,0,0,53.8,53.8,69.5,38.5,9.9,33.8,0.0,28722
0.0,10.5,0,217.08,0,46.8,0,0,57.0,57.0,71.5,44.4,9.9,45.0,0.0,24035
0.0,7.6,0,85.91,0,60.08,0,0,57.8,57.8,72.3,45.7,9.9,0.0,0.0,21914
0.0,7.0,0,189.58,0,61.17,0,0,60.6,60.6,75.4,43.5,9.8,0.0,0.0,26604
0.0,7.3,0,48.33,0,64.6,0,0,61.6,61.6,75.5,45.9,9.7,0.0,0.0,19561
0.0,8.7,0,210.42,0,66.26,0,0,65.4,65.4,78.4,51.9,9.8,0.0,0.0,18120
0.02,15.4,0,220.0,0,50.08,0,0,63.2,63.2,73.3,55.4,9.6,0.0,0.0,24044
0.0,18.1,0,280.42,0,33.44,0,0,46.9,46.9,53.4,39.1,9.5,33.3,0.0,30656
0.0,9.3,0,158.7,0,40.47,0,0,49.2,49.2,64.7,31.4,9.9,27.3,0.0,29497
1.54,11.5,0,118.54,0,76.96,0,0,52.2,52.2,64.9,42.8,8.1,46.4,0.0,2928
1.85,15.5,0,275.0,0,68.19,0,0,62.2,62.2,72.0,50.0,8.8,46.4,0.0,21496
0.0,13.8,0,280.48,0,62.02,0,0,52.7,52.7,68.2,43.9,9.9,39.7,0.0,23994
0.0,15.2,0,274.38,0,43.07,0,0,44.8,44.8,54.6,36.7,9.9,29.0,0.0,30380
0.0,12.6,0,233.75,0,47.41,0,0,46.2,46.2,59.7,31.8,9.9,27.9,0.0,30501
0.0,14.2,0,120.42,0,58.09,0,0,51.3,51.3,66.5,32.2,9.6,0.0,0.0,30323
0.2,12.9,0,255.0,0,57.23,0,0,53.3,53.3,59.5,44.2,9.5,44.8,0.0,29146
0.0,10.1,0,104.35,0,68.84,0,0,48.7,48.7,65.6,33.9,9.9,46.6,0.0,13918
0.47,13.9,0,229.05,0,71.81,0,0,53.7,53.7,64.2,45.2,8.9,46.8,0.0,22742
0.0,14.1,0,195.83,0,57.49,0,0,54.6,54.6,68.7,38.9,9.9,0.0,0.0,22812
